LID,TYPE40,PD40,CL40,TYPE41,PD41,CL41,TYPE42,PD42,CL42,TYPE43,PD43,CL43,TYPE80,obscode,Dia,Ano,Start,LULC,habitat,MQCOMP1,MQCOMP2,SHDI,ELEV_MEAN,ELEV_RANGE
87B6501,0.49,11.20,0.79,0.50,7.77,0.71,0.00,NA,NA,0.00,NA,NA,0.38,2.00,172.00,2004.00,749.00,0.00,5.00,-0.27,-0.10,1.37,2158.34,149.85
87B6503,0.80,12.33,0.85,0.72,8.05,0.75,0.05,16.10,0.74,0.00,NA,NA,0.08,2.00,172.00,2004.00,815.00,0.00,1.00,-0.28,-0.17,1.21,2048.38,145.08
87B6603,0.62,5.77,0.82,0.59,15.87,0.81,0.00,NA,NA,0.00,NA,NA,0.26,2.00,172.00,2004.00,957.00,0.00,10.00,-0.49,-0.11,1.27,2639.40,63.36
87B6610,0.74,5.77,0.77,0.74,7.94,0.67,0.00,NA,NA,0.00,NA,NA,0.12,2.00,172.00,2004.00,945.00,0.00,1.00,0.09,-0.25,1.20,2352.40,147.02
87B7105,0.75,17.43,0.83,0.66,23.98,0.71,0.09,7.99,0.75,0.00,NA,NA,0.00,10.00,147.00,2005.00,719.00,0.00,5.00,0.15,-0.62,1.19,2569.52,89.94
87B7108,0.88,6.60,0.84,0.69,16.10,0.75,0.19,16.10,0.79,0.00,NA,NA,0.00,10.00,147.00,2005.00,730.00,0.00,5.00,-0.71,0.09,1.17,2395.93,253.51
87B7109,0.49,17.43,0.63,0.50,31.97,0.59,0.00,NA,NA,0.00,NA,NA,0.37,10.00,147.00,2005.00,645.00,0.00,9.00,-0.46,-0.04,1.32,2296.72,133.21
87B7110,0.70,5.34,0.80,0.71,7.88,0.73,0.00,NA,NA,0.00,NA,NA,0.20,10.00,147.00,2005.00,628.00,0.00,15.00,-0.67,0.08,1.19,2268.32,145.97
87B7203,0.71,12.43,0.72,0.72,16.10,0.67,0.00,NA,NA,0.00,NA,NA,0.06,5.00,155.00,2006.00,928.00,0.00,1.00,0.23,-0.55,1.13,2064.47,150.97
87B7205,0.90,6.12,0.81,0.90,7.99,0.73,0.00,NA,NA,0.00,NA,NA,0.00,5.00,155.00,2006.00,947.00,0.00,5.00,-0.49,0.02,0.82,2255.67,140.52
87B7206,0.91,6.13,0.85,0.88,7.94,0.77,0.03,7.94,1.00,0.00,NA,NA,0.00,5.00,155.00,2006.00,938.00,0.00,5.00,-0.60,0.07,0.93,2333.34,160.87
