LID,TYPE40,PD40,CL40,TYPE41,PD41,CL41,TYPE42,PD42,CL42,TYPE43,PD43,CL43,TYPE80,obscode,Dia,Ano,Start,LULC,habitat,MQCOMP1,MQCOMP2,SHDI,ELEV_MEAN,ELEV_RANGE
26D3607,0.73,5.56,0.75,0.61,15.43,0.58,0.14,15.43,0.50,0.00,NA,NA,0.00,19.00,189.00,2007.00,927.00,0.00,5.00,1.17,-0.71,1.53,857.00,60.03
26D3615,0.51,24.69,0.76,0.51,31.97,0.71,0.00,NA,NA,0.00,NA,NA,0.21,19.00,189.00,2007.00,905.00,0.00,1.00,4.12,-0.82,1.59,895.38,36.19
27C7402,0.74,5.56,0.74,0.74,7.72,0.64,0.00,NA,NA,0.00,NA,NA,0.00,19.00,188.00,2008.00,703.00,0.00,5.00,-0.63,0.10,1.14,1483.38,77.87
27C7605,0.80,6.17,0.85,0.67,7.99,0.77,0.13,7.99,0.92,0.00,NA,NA,0.08,11.00,162.00,2006.00,617.00,0.00,7.00,-0.55,0.05,1.34,1418.72,91.65
27D4404,0.64,5.85,0.74,0.37,8.05,0.80,0.04,8.05,0.80,0.25,16.10,0.52,0.04,19.00,189.00,2007.00,635.00,0.00,1.00,4.61,-2.23,1.71,938.17,47.85
27D4408,0.87,6.13,0.84,0.67,15.87,0.70,0.00,NA,NA,0.22,7.94,0.58,0.00,19.00,189.00,2007.00,611.00,0.00,1.00,1.60,-0.80,1.25,875.69,135.10
27D4603,0.52,5.81,0.62,0.38,39.97,0.50,0.00,NA,NA,0.15,15.99,0.38,0.00,11.00,166.00,2006.00,845.00,0.00,5.00,4.08,-0.30,1.68,912.11,103.84
27D4607,0.77,11.52,0.83,0.78,15.99,0.76,0.00,NA,NA,0.00,NA,NA,0.01,11.00,166.00,2006.00,747.00,0.00,5.00,0.30,-0.08,1.00,1059.91,66.27
27D4609,0.86,6.22,0.92,0.42,16.10,0.65,0.01,8.05,NA,0.43,8.05,0.83,0.05,11.00,166.00,2006.00,809.00,0.00,7.00,0.26,-0.07,1.42,1066.33,19.40
27D5204,0.56,18.51,0.78,0.52,23.98,0.72,0.00,NA,NA,0.04,7.99,1.00,0.01,11.00,163.00,2006.00,613.00,0.00,15.00,2.37,0.07,1.46,1100.08,34.14
27D5304,0.72,5.60,0.85,0.73,7.77,0.79,0.00,NA,NA,0.00,NA,NA,0.00,11.00,166.00,2006.00,612.00,0.00,5.00,2.00,-0.43,1.29,1060.16,151.42
27D5403,0.87,6.52,0.80,0.89,7.88,0.78,0.00,NA,NA,0.00,NA,NA,0.00,11.00,163.00,2006.00,724.00,0.00,5.00,0.89,-0.55,0.93,1224.72,55.18
27D5503,0.68,5.85,0.83,0.64,8.05,0.80,0.03,8.05,0.75,0.00,NA,NA,0.23,19.00,188.00,2008.00,543.00,0.00,5.00,-0.40,0.00,1.34,1280.46,197.27
27D5605,0.76,6.13,0.87,0.68,7.94,0.79,0.00,NA,NA,0.07,7.94,0.76,0.11,19.00,185.00,2007.00,645.00,0.00,1.00,-0.12,0.25,1.40,1344.40,76.18
27D6101,0.54,17.30,0.69,0.55,23.81,0.59,0.00,NA,NA,0.00,NA,NA,0.31,19.00,169.00,2007.00,937.00,0.00,1.00,0.53,-0.35,1.35,1257.01,59.47
27D6108,0.69,11.52,0.74,0.69,7.99,0.65,0.00,NA,NA,0.00,NA,NA,0.11,19.00,169.00,2007.00,1007.00,0.00,1.00,0.11,-0.29,1.30,1371.40,53.48
27D6204,0.61,18.51,0.79,0.55,15.99,0.69,0.06,23.98,0.30,0.00,NA,NA,0.00,19.00,169.00,2007.00,806.00,0.00,1.00,-0.23,-0.10,1.48,1498.91,32.38
27D6208,0.63,18.67,0.75,0.63,15.99,0.70,0.00,NA,NA,0.00,NA,NA,0.03,19.00,169.00,2007.00,851.00,0.00,1.00,-0.31,-0.04,1.37,1319.31,156.88
27D6303,0.52,12.25,0.85,0.54,15.87,0.84,0.00,NA,NA,0.00,NA,NA,0.09,11.00,163.00,2006.00,951.00,0.00,2.00,6.68,2.80,1.53,1284.71,53.28
27D6306,0.63,11.60,0.69,0.39,24.15,0.62,0.00,NA,NA,0.23,24.15,0.59,0.17,11.00,163.00,2006.00,904.00,0.00,2.00,0.29,-0.54,1.54,1337.29,73.68
27D6307,0.80,6.22,0.87,0.57,16.10,0.66,0.00,NA,NA,0.23,8.05,0.57,0.10,11.00,163.00,2006.00,925.00,NA,NA,0.26,-0.27,1.37,1420.11,40.71
27D6604,0.68,5.81,0.87,0.68,7.99,0.79,0.00,NA,NA,0.00,NA,NA,0.14,11.00,164.00,2006.00,753.00,0.00,2.00,-0.41,0.02,1.32,1503.93,84.19
27D6608,0.72,5.77,0.85,0.73,7.94,0.80,0.00,NA,NA,0.00,NA,NA,0.09,11.00,164.00,2006.00,726.00,0.00,15.00,-0.46,0.01,1.23,1383.87,119.32
27D7101,0.88,5.91,0.94,0.77,15.43,0.79,0.10,7.72,0.84,0.00,NA,NA,0.14,19.00,169.00,2007.00,703.00,1.00,5.00,-0.75,0.32,1.15,1425.03,73.00
27D7206,0.80,5.38,0.82,0.52,15.87,0.65,0.15,7.94,0.97,0.11,23.81,0.61,0.00,19.00,165.00,2009.00,926.00,0.00,5.00,-0.65,0.26,1.59,1481.30,57.54
27D7207,0.65,5.38,0.90,0.62,7.94,0.90,0.04,7.94,0.71,0.00,NA,NA,0.21,19.00,165.00,2009.00,937.00,0.00,5.00,-0.78,0.24,1.39,1572.64,94.56
27D7305,0.64,11.44,0.74,0.54,23.81,0.63,0.01,7.94,1.00,0.09,7.94,0.58,0.00,11.00,164.00,2006.00,839.00,0.00,15.00,-0.28,-0.26,1.54,1334.29,78.20
27D7404,0.87,5.76,0.86,0.74,7.99,0.75,0.06,7.99,0.48,0.08,7.99,0.93,0.00,11.00,165.00,2006.00,632.00,0.00,7.00,-0.67,0.13,1.26,1728.44,90.90
27D7405,0.67,11.62,0.66,0.57,31.97,0.51,0.00,NA,NA,0.07,7.99,0.92,0.00,11.00,165.00,2006.00,642.00,0.00,15.00,-0.61,0.04,1.50,1746.41,46.33
27D7406,0.64,10.84,0.73,0.52,23.98,0.69,0.00,NA,NA,0.12,7.99,0.87,0.15,11.00,165.00,2006.00,620.00,0.00,1.00,-0.74,0.19,1.61,1542.05,88.50
27D7407,0.54,10.84,0.88,0.54,15.99,0.82,0.00,NA,NA,0.00,NA,NA,0.20,11.00,165.00,2006.00,537.00,0.00,1.00,-0.70,0.16,1.46,1628.86,47.61
27D7408,0.59,11.60,0.71,0.27,32.21,0.59,0.23,16.10,0.89,0.09,24.15,0.29,0.04,11.00,165.00,2006.00,527.00,0.00,7.00,-0.57,0.11,1.86,1589.16,85.74
27D7502,0.72,10.47,0.76,0.39,38.58,0.48,0.11,15.43,0.66,0.24,30.86,0.46,0.17,19.00,163.00,2007.00,634.00,0.00,5.00,-0.26,-0.02,1.74,1368.39,52.12
27D7509,0.67,5.80,0.78,0.67,8.05,0.74,0.00,NA,NA,0.00,NA,NA,0.16,19.00,163.00,2007.00,514.00,0.00,5.00,-0.57,0.04,1.34,1518.46,53.02
27D7603,0.55,5.77,0.86,0.57,7.94,0.84,0.00,NA,NA,0.00,NA,NA,0.24,11.00,165.00,2006.00,716.00,0.00,5.00,-0.47,-0.09,1.38,1347.16,106.94
27D7607,0.58,6.18,0.90,0.51,7.94,0.86,0.01,7.94,1.00,0.05,7.94,1.00,0.35,11.00,165.00,2006.00,807.00,0.00,2.00,-0.61,0.11,1.36,1533.80,102.29
27D7608,0.55,11.45,0.77,0.55,15.76,0.73,0.00,NA,NA,0.00,NA,NA,0.34,11.00,165.00,2006.00,656.00,0.00,15.00,-0.42,-0.08,1.30,1424.82,102.37
28A2101,0.70,6.17,0.65,0.74,7.99,0.59,0.00,NA,NA,0.00,NA,NA,0.00,11.00,174.00,2006.00,751.00,0.00,5.00,-0.17,0.00,1.19,669.31,14.30
28A2104,0.80,5.46,0.78,0.79,8.05,0.70,0.00,NA,NA,0.00,NA,NA,0.00,11.00,174.00,2006.00,700.00,0.00,5.00,-0.73,0.12,1.05,637.41,27.44
28A2105,0.78,16.80,0.80,0.81,15.54,0.68,0.00,NA,NA,0.00,NA,NA,0.00,11.00,174.00,2006.00,640.00,0.00,15.00,-0.48,-0.14,1.05,640.37,12.68
28A2106,0.84,5.72,0.82,0.85,7.94,0.69,0.00,NA,NA,0.00,NA,NA,0.00,11.00,174.00,2006.00,739.00,0.00,5.00,-0.38,-0.06,0.96,653.64,26.84
28A2204,0.76,13.13,0.79,0.78,7.94,0.75,0.00,NA,NA,0.00,NA,NA,0.00,11.00,174.00,2006.00,835.00,0.00,5.00,1.33,0.08,1.08,675.38,95.51
28A2206,0.60,17.18,0.69,0.59,23.64,0.59,0.00,NA,NA,0.00,NA,NA,0.23,11.00,174.00,2006.00,924.00,0.00,5.00,0.43,0.34,1.42,748.94,52.15
28A2304,0.50,12.25,0.78,0.51,15.87,0.73,0.00,NA,NA,0.00,NA,NA,0.37,11.00,174.00,2006.00,559.00,0.00,2.00,1.64,-0.18,1.34,744.06,42.21
28A2306,0.64,6.22,0.68,0.64,8.05,0.64,0.00,NA,NA,0.00,NA,NA,0.21,11.00,174.00,2006.00,548.00,0.00,1.00,-0.41,-0.12,1.23,801.94,63.67
28A2308,0.54,12.15,0.70,0.53,15.87,0.64,0.00,NA,NA,0.00,NA,NA,0.24,11.00,174.00,2006.00,629.00,0.00,2.00,1.94,0.70,1.50,673.13,13.50
28A2412,0.54,12.34,0.70,0.50,7.99,0.70,0.00,NA,NA,0.04,15.99,0.56,0.10,19.00,165.00,2007.00,1029.00,0.00,1.00,0.57,-0.07,1.69,804.87,35.68
28A2413,0.58,18.65,0.70,0.58,16.10,0.63,0.00,NA,NA,0.00,NA,NA,0.07,19.00,165.00,2007.00,1002.00,0.00,5.00,-0.49,-0.03,1.55,820.58,58.55
28A2415,0.51,5.76,0.66,0.50,15.99,0.57,0.00,NA,NA,0.00,NA,NA,0.29,19.00,165.00,2007.00,939.00,3.00,5.00,-0.04,0.25,1.48,849.15,66.68
28A2505,0.65,6.13,0.75,0.63,7.94,0.73,0.00,NA,NA,0.00,NA,NA,0.08,11.00,173.00,2006.00,938.00,0.00,5.00,-0.31,-0.13,1.36,932.12,13.72
28A2602,0.52,11.69,0.78,0.52,16.22,0.73,0.00,NA,NA,0.00,NA,NA,0.27,11.00,173.00,2006.00,806.00,0.00,15.00,1.35,0.95,1.42,912.77,22.36
28A3101,0.65,13.21,0.85,0.63,16.10,0.81,0.00,NA,NA,0.00,NA,NA,0.00,19.00,165.00,2007.00,523.00,0.00,4.00,7.16,13.62,1.36,672.67,61.18
28A3202,0.88,5.76,0.87,0.90,7.99,0.78,0.00,NA,NA,0.00,NA,NA,0.00,11.00,167.00,2006.00,918.00,0.00,5.00,-0.51,0.01,0.83,922.76,84.78
28A3205,0.69,6.46,0.84,0.67,7.88,0.81,0.00,NA,NA,0.00,NA,NA,0.24,11.00,167.00,2006.00,858.00,0.00,5.00,-0.56,0.03,1.20,869.76,66.69
28A3306,0.69,10.61,0.74,0.69,31.30,0.66,0.00,NA,NA,0.00,NA,NA,0.11,19.00,165.00,2007.00,758.00,0.00,5.00,-0.56,0.02,1.34,858.16,25.98
28A3307,0.53,6.18,0.79,0.44,7.94,0.65,0.11,15.87,0.85,0.00,NA,NA,0.27,19.00,165.00,2007.00,718.00,0.00,5.00,0.39,0.58,1.56,802.85,72.03
28A3402,0.52,12.25,0.73,0.49,15.87,0.64,0.03,7.94,0.75,0.00,NA,NA,0.28,11.00,168.00,2006.00,947.00,0.00,1.00,-0.16,-0.17,1.50,1090.64,81.74
28A3404,0.66,17.85,0.76,0.66,31.08,0.68,0.00,NA,NA,0.00,NA,NA,0.13,11.00,168.00,2006.00,937.00,0.00,2.00,-0.45,-0.03,1.34,1085.40,19.06
28A3405,0.71,12.25,0.78,0.64,15.87,0.86,0.09,7.94,0.63,0.00,NA,NA,0.20,11.00,168.00,2006.00,847.00,0.00,5.00,-0.44,0.05,1.31,1000.73,89.91
28A3408,0.85,6.57,0.82,0.85,7.94,0.78,0.00,NA,NA,0.00,NA,NA,0.00,11.00,168.00,2006.00,909.00,0.00,5.00,-0.31,-0.19,0.93,944.47,37.03
28A3409,0.72,5.85,0.86,0.69,16.10,0.82,0.00,NA,NA,0.00,NA,NA,0.16,11.00,168.00,2006.00,838.00,0.00,1.00,-0.20,-0.18,1.25,1017.05,78.06
28A3501,0.69,13.13,0.71,0.70,15.87,0.68,0.00,NA,NA,0.00,NA,NA,0.04,6.00,174.00,2004.00,610.00,0.00,5.00,-0.35,-0.02,1.27,883.58,37.92
28A3508,0.56,16.26,0.77,0.49,15.99,0.82,0.07,7.99,0.84,0.00,NA,NA,0.16,6.00,174.00,2004.00,643.00,0.00,12.00,3.33,-0.88,1.57,952.58,93.24
28A3601,0.55,13.13,0.66,0.55,15.87,0.64,0.00,NA,NA,0.00,NA,NA,0.14,19.00,171.00,2007.00,820.00,0.00,5.00,-0.47,0.00,1.52,1114.66,7.73
28A3605,0.61,12.17,0.75,0.48,15.76,0.65,0.16,23.64,0.70,0.00,NA,NA,0.23,19.00,171.00,2007.00,750.00,0.00,1.00,0.13,0.11,1.53,1091.87,43.29
28A3607,0.57,5.72,0.78,0.56,7.94,0.76,0.00,NA,NA,0.00,NA,NA,0.35,19.00,171.00,2007.00,833.00,1.00,2.00,-0.48,0.02,1.41,1204.95,31.25
28A4103,0.89,6.08,0.81,0.78,7.94,0.70,0.09,15.87,0.62,0.00,NA,NA,0.00,11.00,167.00,2006.00,607.00,0.00,1.00,0.59,0.13,1.15,901.74,77.31
28A4105,0.53,12.33,0.74,0.53,16.10,0.70,0.00,NA,NA,0.00,NA,NA,0.36,11.00,167.00,2006.00,646.00,0.00,2.00,-0.38,-0.04,1.43,1159.45,49.86
28A4106,0.87,6.12,0.81,0.74,15.99,0.67,0.00,NA,NA,0.12,15.99,0.61,0.01,11.00,167.00,2006.00,709.00,0.00,5.00,-0.44,-0.07,1.15,1083.53,138.27
28A4304,0.84,5.68,0.82,0.74,7.88,0.73,0.11,7.88,0.82,0.00,NA,NA,0.00,11.00,168.00,2006.00,815.00,0.00,5.00,-0.40,-0.05,1.20,1196.04,14.55
28B2103,0.67,5.73,0.73,0.67,7.88,0.64,0.00,NA,NA,0.00,NA,NA,0.00,19.00,170.00,2007.00,836.00,0.00,5.00,-0.36,-0.15,1.21,973.29,17.08
28B2107,0.49,23.04,0.71,0.50,23.98,0.62,0.00,NA,NA,0.00,NA,NA,0.00,19.00,171.00,2007.00,516.00,0.00,1.00,-0.63,0.08,1.35,968.24,6.84
28B2111,0.78,12.36,0.74,0.78,7.94,0.66,0.00,NA,NA,0.00,NA,NA,0.00,19.00,170.00,2007.00,847.00,0.00,5.00,-0.63,-0.01,1.09,956.95,32.75
28B2113,0.54,5.56,0.63,0.57,23.15,0.55,0.00,NA,NA,0.00,NA,NA,0.09,19.00,170.00,2007.00,900.00,0.00,5.00,-0.57,0.00,1.49,967.56,8.44
28B2202,0.61,5.84,0.78,0.60,16.22,0.74,0.00,NA,NA,0.00,NA,NA,0.29,11.00,173.00,2006.00,531.00,0.00,5.00,-0.54,0.04,1.23,968.36,34.54
28B2206,0.58,18.51,0.71,0.59,23.98,0.66,0.00,NA,NA,0.00,NA,NA,0.16,11.00,173.00,2006.00,611.00,0.00,5.00,-0.48,0.03,1.49,962.97,21.45
28B2208,0.82,6.13,0.81,0.82,7.94,0.75,0.00,NA,NA,0.00,NA,NA,0.04,11.00,173.00,2006.00,543.00,0.00,5.00,-0.35,-0.17,1.02,903.12,74.71
28B2301,0.82,11.62,0.81,0.82,7.99,0.70,0.00,NA,NA,0.00,NA,NA,0.00,19.00,170.00,2007.00,800.00,0.00,15.00,-0.59,0.06,1.03,998.07,8.96
28B2303,0.56,12.43,0.77,0.55,16.10,0.73,0.00,NA,NA,0.00,NA,NA,0.24,19.00,170.00,2007.00,700.00,0.00,5.00,-0.42,-0.11,1.48,1043.93,16.36
28B2308,0.59,11.44,0.72,0.63,7.94,0.63,0.00,NA,NA,0.00,NA,NA,0.06,19.00,170.00,2007.00,719.00,0.00,1.00,-0.37,-0.13,1.47,994.29,7.39
28B2405,0.86,6.22,0.82,0.84,8.05,0.72,0.00,NA,NA,0.00,NA,NA,0.00,19.00,170.00,2007.00,549.00,0.00,15.00,-0.66,0.07,0.99,990.86,12.52
28B2601,0.48,16.38,0.80,0.50,16.10,0.73,0.00,NA,NA,0.00,NA,NA,0.38,6.00,175.00,2004.00,622.00,0.00,5.00,-0.23,-0.05,1.41,1096.63,18.70
28B2608,0.57,11.44,0.83,0.59,15.87,0.80,0.00,NA,NA,0.00,NA,NA,0.21,6.00,175.00,2004.00,549.00,0.00,5.00,-0.34,-0.07,1.54,987.30,81.21
28B3102,0.65,5.89,0.88,0.64,8.11,0.84,0.00,NA,NA,0.00,NA,NA,0.24,19.00,171.00,2007.00,730.00,0.00,5.00,-0.44,0.00,1.20,1146.77,51.33
28B3103,0.64,5.38,0.85,0.65,15.87,0.80,0.00,NA,NA,0.00,NA,NA,0.19,19.00,171.00,2007.00,625.00,0.00,5.00,-0.45,-0.07,1.33,1070.82,22.77
28B3203,0.52,16.80,0.80,0.43,23.31,0.68,0.10,15.54,0.68,0.00,NA,NA,0.40,22.00,188.00,2008.00,739.00,0.00,7.00,-0.57,0.05,1.44,1241.14,25.24
28B3502,0.77,12.93,0.81,0.76,7.88,0.80,0.00,NA,NA,0.00,NA,NA,0.15,19.00,167.00,2009.00,944.00,0.00,5.00,-0.25,-0.09,1.12,1031.43,107.84
28B3508,0.83,10.47,0.86,0.86,7.72,0.74,0.00,NA,NA,0.00,NA,NA,0.00,22.00,187.00,2008.00,830.00,0.00,5.00,-0.30,-0.16,0.97,1237.71,27.87
28B3510,0.47,5.23,0.85,0.51,7.72,0.81,0.00,NA,NA,0.00,NA,NA,0.42,19.00,167.00,2009.00,748.00,3.00,2.00,0.18,-0.29,1.30,1273.80,37.98
28B4105,0.64,5.77,0.85,0.37,15.87,0.76,0.21,15.87,0.68,0.06,15.87,0.65,0.26,6.00,170.00,2004.00,725.00,0.00,5.00,-0.42,-0.03,1.60,1352.61,65.13
28B4107,0.51,18.51,0.72,0.51,23.98,0.66,0.00,NA,NA,0.00,NA,NA,0.28,6.00,170.00,2004.00,607.00,0.00,8.00,1.49,-0.12,1.50,1300.65,71.90
28B4304,0.69,13.02,0.78,0.65,23.81,0.71,0.02,7.94,1.00,0.00,NA,NA,0.00,22.00,188.00,2008.00,845.00,0.00,5.00,-0.06,-0.48,1.28,1144.31,135.32
28B4506,0.78,6.22,0.80,0.75,8.05,0.76,0.02,8.05,1.00,0.00,NA,NA,0.06,11.00,178.00,2006.00,635.00,0.00,5.00,-0.41,-0.17,1.16,1182.86,58.33
28C2101,0.64,17.30,0.84,0.65,7.94,0.80,0.00,NA,NA,0.00,NA,NA,0.21,22.00,187.00,2008.00,605.00,0.00,7.00,-0.57,0.02,1.29,1131.42,29.54
28C2205,0.52,16.15,0.78,0.48,15.87,0.75,0.04,7.94,0.79,0.00,NA,NA,0.24,11.00,172.00,2006.00,611.00,0.00,15.00,-0.50,-0.03,1.59,1163.95,21.82
28C2206,0.65,27.90,0.78,0.63,31.75,0.78,0.03,7.94,0.49,0.00,NA,NA,0.13,11.00,172.00,2006.00,752.00,0.00,15.00,-0.46,-0.08,1.41,1139.66,65.81
28C2402,0.62,6.57,0.87,0.63,7.94,0.87,0.00,NA,NA,0.00,NA,NA,0.28,11.00,172.00,2006.00,731.00,0.00,5.00,-0.42,0.02,1.23,1263.59,20.25
28C2507,0.58,10.84,0.79,0.57,15.99,0.70,0.00,NA,NA,0.00,NA,NA,0.32,11.00,169.00,2006.00,901.00,0.00,5.00,0.57,-0.45,1.26,1092.25,48.01
28C2613,0.74,6.61,0.83,0.75,7.99,0.81,0.01,7.99,NA,0.00,NA,NA,0.00,19.00,162.00,2007.00,922.00,0.00,1.00,-0.07,-0.15,1.13,1158.02,64.58
28C3104,0.86,5.56,0.86,0.88,7.72,0.81,0.00,NA,NA,0.00,NA,NA,0.02,22.00,188.00,2008.00,524.00,0.00,5.00,-0.50,0.01,0.99,1029.31,89.14
28C3105,0.52,11.53,0.78,0.49,15.87,0.69,0.01,15.87,-1.00,0.00,NA,NA,0.01,22.00,188.00,2008.00,542.00,0.00,15.00,1.52,-0.41,1.49,1003.29,71.59
28C3108,0.59,6.22,0.82,0.59,8.05,0.77,0.00,NA,NA,0.00,NA,NA,0.30,19.00,167.00,2009.00,804.00,0.00,1.00,-0.58,0.04,1.26,1062.76,58.99
28C3203,0.54,19.84,0.79,0.57,23.98,0.78,0.00,NA,NA,0.00,NA,NA,0.32,22.00,186.00,2008.00,622.00,0.00,5.00,-0.51,0.01,1.33,1340.84,38.75
28C3204,0.55,10.84,0.83,0.48,23.98,0.78,0.02,15.99,0.49,0.04,15.99,0.59,0.32,22.00,186.00,2008.00,655.00,0.00,5.00,-0.34,-0.14,1.49,1328.18,90.09
28C3205,0.68,18.65,0.78,0.67,16.10,0.78,0.00,NA,NA,0.00,NA,NA,0.23,22.00,186.00,2008.00,522.00,0.00,5.00,-0.48,0.03,1.18,1292.39,38.76
28C3302,0.56,19.70,0.81,0.56,15.87,0.77,0.00,NA,NA,0.00,NA,NA,0.19,11.00,172.00,2006.00,909.00,0.00,5.00,0.93,-0.20,1.44,1209.82,113.29
28C3303,0.61,5.77,0.76,0.61,7.94,0.70,0.00,NA,NA,0.00,NA,NA,0.24,11.00,172.00,2006.00,951.00,0.00,5.00,-0.52,0.04,1.36,1051.48,60.36
28C3308,0.69,5.89,0.85,0.69,16.22,0.81,0.00,NA,NA,0.00,NA,NA,0.20,11.00,172.00,2006.00,844.00,0.00,5.00,-0.63,0.10,1.24,1186.07,154.98
28C3309,0.81,5.77,0.85,0.52,7.94,0.63,0.31,23.81,0.69,0.00,NA,NA,0.08,11.00,172.00,2006.00,920.00,0.00,7.00,-0.61,0.11,1.46,1079.11,78.74
28C3403,0.51,18.38,0.75,0.51,23.81,0.67,0.00,NA,NA,0.00,NA,NA,0.36,11.00,175.00,2006.00,606.00,0.00,5.00,-0.59,0.04,1.34,1306.50,62.72
28C3405,0.62,11.60,0.74,0.61,16.10,0.71,0.00,NA,NA,0.00,NA,NA,0.23,11.00,175.00,2006.00,526.00,0.00,5.00,-0.39,-0.05,1.38,1425.89,19.06
28C3406,0.62,17.55,0.82,0.60,24.15,0.74,0.00,NA,NA,0.00,NA,NA,0.26,11.00,175.00,2006.00,629.00,0.00,9.00,-0.45,-0.06,1.35,1253.21,47.05
28C3407,0.66,6.51,0.76,0.65,15.87,0.76,0.00,NA,NA,0.00,NA,NA,0.25,11.00,175.00,2006.00,546.00,0.00,15.00,-0.52,0.01,1.24,1427.32,35.55
28C3602,0.69,18.38,0.69,0.69,7.94,0.59,0.00,NA,NA,0.00,NA,NA,0.00,19.00,162.00,2007.00,540.00,0.00,1.00,0.33,-0.83,1.05,1282.60,25.74
28C3603,0.47,10.47,0.82,0.51,15.43,0.76,0.00,NA,NA,0.00,NA,NA,0.34,19.00,162.00,2007.00,608.00,0.00,5.00,1.33,-0.20,1.54,1150.12,60.22
28C3608,0.59,13.13,0.81,0.59,15.87,0.76,0.00,NA,NA,0.00,NA,NA,0.22,19.00,162.00,2007.00,515.00,0.00,5.00,-0.11,-0.24,1.43,1240.30,90.88
28C4105,0.72,6.22,0.84,0.72,8.05,0.81,0.00,NA,NA,0.00,NA,NA,0.07,22.00,186.00,2008.00,932.00,0.00,5.00,0.68,-0.11,1.27,1191.21,57.49
28C4302,0.77,6.13,0.87,0.78,7.94,0.82,0.00,NA,NA,0.00,NA,NA,0.12,22.00,186.00,2008.00,757.00,0.00,5.00,-0.23,-0.10,1.09,1370.78,117.73
28C4304,0.72,5.42,0.83,0.57,7.99,0.85,0.14,23.98,0.57,0.00,NA,NA,0.04,22.00,186.00,2008.00,835.00,0.00,5.00,0.28,0.69,1.49,1100.07,23.46
28C4306,0.69,17.41,0.79,0.68,32.21,0.75,0.00,NA,NA,0.00,NA,NA,0.18,19.00,167.00,2009.00,522.00,0.00,5.00,-0.22,-0.18,1.26,1427.46,47.58
28C4307,0.59,17.43,0.79,0.58,23.98,0.69,0.00,NA,NA,0.00,NA,NA,0.14,19.00,167.00,2009.00,536.00,0.00,1.00,0.26,-0.74,1.32,1180.80,208.03
28C4503,0.54,5.76,0.75,0.54,7.99,0.71,0.00,NA,NA,0.00,NA,NA,0.19,11.00,175.00,2006.00,716.00,0.00,2.00,3.31,-0.75,1.49,1305.97,59.99
28C4504,0.83,6.13,0.85,0.83,7.94,0.82,0.00,NA,NA,0.00,NA,NA,0.07,11.00,175.00,2006.00,747.00,0.00,5.00,-0.37,-0.04,1.02,1175.91,312.15
28C4506,0.76,5.81,0.86,0.74,7.99,0.80,0.00,NA,NA,0.00,NA,NA,0.04,11.00,175.00,2006.00,645.00,0.00,5.00,0.05,-0.41,1.16,1365.12,21.65
28D2102,0.67,11.53,0.88,0.64,7.94,0.84,0.00,NA,NA,0.00,NA,NA,0.21,11.00,169.00,2006.00,809.00,0.00,5.00,0.10,0.03,1.36,1171.33,25.02
28D2209,0.50,5.76,0.96,0.51,7.99,0.95,0.00,NA,NA,0.00,NA,NA,0.38,11.00,170.00,2006.00,717.00,0.00,9.00,-0.63,0.04,1.46,1110.44,36.83
28D2405,0.84,12.24,0.87,0.63,7.99,0.68,0.13,7.99,0.88,0.06,15.99,0.65,0.07,22.00,184.00,2008.00,729.00,0.00,7.00,-0.62,0.06,1.45,1191.66,32.12
28D2510,0.72,11.36,0.73,0.72,7.88,0.62,0.00,NA,NA,0.00,NA,NA,0.00,6.00,180.00,2004.00,902.00,0.00,5.00,0.04,-0.25,1.23,1071.40,45.99
28D2604,0.89,6.57,0.85,0.91,7.94,0.80,0.00,NA,NA,0.00,NA,NA,0.00,12.00,181.00,2007.00,624.00,0.00,5.00,-0.55,0.05,0.86,1273.29,64.46
28D2606,0.79,5.27,0.84,0.82,7.77,0.71,0.00,NA,NA,0.00,NA,NA,0.11,12.00,181.00,2007.00,610.00,0.00,15.00,-0.53,0.04,1.04,1265.63,16.11
28D2608,0.68,6.18,0.88,0.69,7.94,0.84,0.00,NA,NA,0.00,NA,NA,0.21,12.00,181.00,2007.00,556.00,0.00,2.00,-0.44,0.08,1.24,1320.59,17.48
28D2609,0.69,13.11,0.76,0.66,7.99,0.72,0.00,NA,NA,0.00,NA,NA,0.14,12.00,181.00,2007.00,659.00,0.00,5.00,-0.13,-0.38,1.21,1266.12,45.26
28D3104,0.82,12.36,0.82,0.77,23.81,0.79,0.00,NA,NA,0.04,7.94,0.85,0.00,19.00,162.00,2007.00,825.00,0.00,1.00,-0.28,-0.29,1.07,1262.68,20.95
28D3105,0.77,12.17,0.84,0.80,15.76,0.79,0.00,NA,NA,0.00,NA,NA,0.00,19.00,162.00,2007.00,733.00,0.00,1.00,0.28,-0.57,0.97,1105.54,28.61
28D3106,0.54,26.07,0.80,0.52,31.52,0.79,0.00,NA,NA,0.00,NA,NA,0.27,19.00,162.00,2007.00,743.00,0.00,1.00,0.10,-0.20,1.43,1102.39,25.32
28D3201,0.64,17.18,0.71,0.63,39.40,0.64,0.00,NA,NA,0.00,NA,NA,0.00,11.00,171.00,2006.00,706.00,0.00,15.00,-0.62,0.02,1.45,1066.28,15.51
28D3301,0.90,5.46,0.88,0.87,8.05,0.78,0.00,NA,NA,0.00,NA,NA,0.00,11.00,171.00,2006.00,634.00,0.00,5.00,-0.45,-0.01,0.89,1296.90,19.83
