,LID,TYPE40,PD40,CL40,TYPE41,PD41,CL41,TYPE42,PD42,CL42,TYPE43,PD43,CL43,TYPE80,obscode,Dia,Ano,Start,LULC,habitat,MQCOMP1,SHDI,ELEV_MEAN,ELEV_RANGE
1,26D3607,0.343685152,1.454386474,0.8099,0.332422951,2.805990816,0.7704,0.009400089,0.815953777,0.6047,0.00,0.278630913,0.4089,0.38,19,189,2007,927,0,5,3.329533212,1.9125,835.4089591,229.6484985
2,26D3615,0.338009289,1.738352348,0.8069,0.320390837,3.004285951,0.7618,0.011530776,0.954959832,0.5978,0.01,0.716251907,0.5255,0.40,19,189,2007,905,0,1,2.518822946,1.9461,880.04171,160.8579102
,,0,,,0,,,0,,,0.00,,,0.00,,,,,,,0,,,
,,0,,,0,,,0,,,0.00,,,0.00,,,,,,,0,,,
3,27D4404,0.297257666,1.50659047,0.7977,0.258887399,3.163481214,0.7448,0.010832483,0.895394983,0.6192,0.03,2.387506398,0.5324,0.17,19,189,2007,635,0,1,9.631351208,2.0144,932.1523022,326.7359619
4,27D4408,0.243453348,1.549972124,0.7948,0.212245053,2.924664272,0.7503,0.008451127,0.736099021,0.6052,0.02,2.307853013,0.5028,0.12,19,189,2007,611,0,1,13.94241271,2.0552,939.6098133,304.9892578
5,27D4603,0.340874078,1.492138135,0.8096,0.29364087,3.024254552,0.7457,0.010474385,0.954994033,0.6043,0.04,2.666115773,0.5649,0.25,11,166,2006,845,0,5,5.151868755,2.0264,937.7182227,352.5044556
6,27D4607,0.316057844,1.715612662,0.7943,0.275914988,3.441641682,0.7403,0.011226392,1.034434319,0.6042,0.03,2.566281859,0.5367,0.28,11,166,2006,747,0,5,5.356780442,2.1006,1046.76,381.6890259
7,27D4609,0.385349927,1.520878887,0.828,0.339405874,3.00396321,0.7725,0.013285459,1.273228404,0.5778,0.03,2.486754208,0.5607,0.38,11,166,2006,809,0,7,1.456208938,1.9491,1052.17,250.3904419
8,27D5204,0.410255686,1.520824428,0.8188,0.374571159,2.605937974,0.7769,0.013786797,1.193624901,0.5865,0.02,2.426964701,0.4804,0.16,11,163,2006,613,0,15,7.864123457,1.9885,1107.92,395.918335
9,27D5304,0.269308069,1.599604692,0.8042,0.247105954,2.845485284,0.7775,0.008665987,0.716323459,0.6077,0.01,1.691315704,0.4817,0.14,11,166,2006,612,0,5,12.49878797,2.0705,1087.32,400.6728516
10,27D5403,0.351742371,1.52940812,0.8068,0.322163425,3.043374119,0.7714,0.014252325,1.253109006,0.5685,0.02,1.989098378,0.4776,0.19,11,163,2006,724,0,5,6.945858865,2.0499,1171.81,367.9851685
11,27D5503,0.43016597,1.089959772,0.8496,0.382270279,2.248346363,0.7876,0.031996112,1.930046331,0.6158,0.02,1.611746298,0.5044,0.40,19,188,2008,543,0,5,0.46669658,1.7451,1312.99,406.9324951
12,27D5605,0.436002977,1.419308443,0.8391,0.386656987,2.665542989,0.7837,0.033124123,2.009117638,0.6227,0.02,1.670912539,0.5039,0.33,19,185,2007,645,0,1,-0.024278058,1.9506,1329.22,286.3059082
13,27D6101,0.485563826,1.463179507,0.8305,0.448411094,2.447260304,0.7772,0.016400917,1.233560655,0.6133,0.02,2.526832462,0.4861,0.24,19,169,2007,937,0,1,3.191908117,1.7247,1220.13,563.7036743
